Location,Cluster,2018,2019,2020,2021,2022,2023,2024,2025,2026
Kismatpur,Mid Residential,3760,4059,2936,4072,4768,4557,4182,4289,4591
Kokapet,Premium,4151,4392,3611,4510,5842,5456,5494,5706,5570
Kollur,Growth West,2603,2746,2303,3167,3769,3646,3576,3508,3648
Kompally,Mid Residential,2365,2461,1857,2511,2895,2624,2711,2518,2501
Konapur,Mid Residential,2040,2200,1863,2303,2785,2580,2436,2356,2464
Kondapur,IT Core,2203,2346,1826,2388,3041,2828,2843,2878,2881
Kongara Kalan,Mid Residential,2807,2997,2523,3371,4155,4084,4020,3915,3829
Kothaguda,Mid Residential,5828,6087,5021,6604,8175,7697,7608,6984,6970
Kothapet,Mid Residential,3831,4068,3318,4123,4991,4854,4774,4520,4565
Kothur,Mid Residential,4888,5073,3754,5013,6102,5820,5277,5539,5954
Kowkoor,Mid Residential,4781,5002,3938,5086,6056,5726,5360,5062,5187
Krishnareddypet,Mid Residential,6464,6936,6169,7862,9204,8534,7802,7890,7568
Kukatpally,Mature,5878,6302,4578,6150,7364,7280,6752,6628,7151
LB Nagar,Mid Residential,5173,5578,4575,5829,7074,6436,6393,6164,6073
Lakdikapul,Mid Residential,4090,4388,3159,4023,5007,4526,4245,4144,4195
Laxmiguda,Mid Residential,6887,7257,6255,7506,9677,9205,9053,8988,8887
Lingampally,Mid Residential,6516,6754,5339,7252,9387,8567,7813,7677,7589
Madeenaguda,Mid Residential,5805,5993,5348,7166,8639,8325,8510,8483,8987
Madhapur,IT Core,2899,3095,2684,3277,4111,3840,3904,3954,4087
Maheshwaram,Peripheral Growth,2006,2139,1783,2429,2976,2912,2765,2530,2497
Malkajgiri,Mid Residential,4045,4279,3470,4756,5539,5499,4987,4956,4732
Mallampet,Mid Residential,4853,5062,4142,4998,5978,5426,5277,5292,5203
Mallapur,Mid Residential,4774,5149,4406,6106,7614,7056,7055,7160,6970
Mamidipally,Mid Residential,4431,4625,3526,4507,5183,5158,4837,4590,4653
Manchirevula,Premium,3282,3487,2477,3016,3747,3699,3444,3196,3148
Mangalpalli,Mid Residential,2615,2741,2142,2798,3547,3236,3265,3284,3506
Manikonda,IT Core,3164,3399,2501,3373,4271,4165,4283,4451,4400
Manneguda,Mid Residential,3609,3796,2838,3833,4896,4554,4675,4786,4812
Mansanpally,Mid Residential,2947,3169,2458,3191,3736,3645,3524,3578,3415
Mansoorabad,Mid Residential,2023,2119,1758,2426,3079,3060,2941,3045,3181
Medchal,Mid Residential,3906,4033,2861,3967,4632,4511,4670,4466,4338
Medipally,Mid Residential,2584,2787,1965,2611,3099,2871,2931,2706,2684
Meerpet,Mid Residential,4931,5238,4691,6208,7318,7079,7326,6853,7264
Mehdipatnam,Mid Residential,5401,5616,4550,5776,7073,7007,6902,6521,6970
Miyapur,Mid Residential,5986,6336,4949,6679,7836,7439,7214,7456,7537
Mokila,Mid Residential,3835,4049,2888,3575,4264,3854,3774,3640,3684
Moosapet,Mature,2295,2463,2039,2811,3299,3045,2872,2599,2570
Moti Nagar,Mid Residential,4152,4399,3880,5072,6410,6362,5923,5882,5873
Moula Ali,Mid Residential,3368,3547,2907,3777,4679,4356,4338,4015,4218
Muthangi,Mid Residential,2425,2559,2172,2779,3420,3373,3409,3228,3409
Nacharam,Mid Residential,6663,7016,5822,7232,8884,8043,7420,7520,7844
Nadergul,Mid Residential,4080,4359,3172,4282,5539,5075,5058,4663,4554
Nagaram,Mid Residential,5159,5386,4126,5357,6532,6185,6434,6018,6295
Nagole,Mid Residential,6546,6879,4853,6716,8122,7715,8011,8316,8725
Nallagandla,IT Core,6507,6902,5574,6713,8164,7428,7371,7587,7640
Nallakunta,Mid Residential,2380,2480,1889,2292,2781,2647,2477,2465,2647
Nanakramguda,Premium,2579,2705,2103,2689,3265,3209,3301,3384,3629
Narapally,Mid Residential,2933,3036,2550,3194,4079,3732,3743,3748,3930
Narsingi,Premium,3450,3565,2515,3465,4007,3911,3638,3487,3375
Neknampur,Mid Residential,5657,5944,4236,5550,7122,6935,6654,6863,7267
Neopolis,Premium,5448,5758,4339,5235,6676,6561,6296,6553,6932
Nizampet,Mid Residential,5616,5855,5002,6372,7864,7388,6902,6393,6540
Osman Nagar,Growth West,5440,5663,4360,5629,6838,6714,6977,7102,7204
Patancheru,Mid Residential,2312,2491,1981,2722,3372,3275,3237,3350,3182
Patighanpur,Mid Residential,2919,3021,2408,3211,3774,3764,3396,3504,3724
Peeramcheruvu,Mid Residential,6777,7051,5989,7892,9668,9077,9187,8630,8326
Peerzadiguda,Mid Residential,5133,5359,4118,5577,6597,6307,6611,6297,6286
Pocharam,Mid Residential,3163,3298,2755,3707,4584,4582,4627,4535,4500
Podur,Low Activity,4072,4325,3853,4833,5825,5625,5249,5252,5440
Pragathi Nagar,Mid Residential,5510,5719,4459,5439,6640,6398,6581,6904,6662
Punjagutta,Core CBD,3130,3336,2890,3510,4143,4098,4152,4049,3967
Puppalaguda,Premium,3674,3849,3114,3963,4591,4541,4743,4618,4699
Quthbullapur,Mature,6574,7091,6057,7437,9555,9524,9648,9660,9617
Rajendra Nagar,Mid Residential,4867,5083,4571,5992,7167,6997,6934,6264,6711
Ramachandrapuram,Mid Residential,6184,6438,5116,6149,7438,6767,6627,6302,6528
Rampally,Mid Residential,3404,3517,2613,3208,3724,3694,3420,3565,3550
Raviryal,Mid Residential,6297,6753,4905,6058,7288,6684,6844,6475,6179
Rudraram,Mid Residential,5803,6058,4890,6478,8067,7530,7000,6634,6723
Saidabad,Mid Residential,5400,5795,4442,5414,6282,6015,5775,5545,5337
Sainikpuri,Mid Residential,5658,5872,4600,5542,7007,6474,6677,6029,5912
Sanath Nagar,Mature,4912,5141,4416,5735,7197,7115,7136,6690,7019
Secunderabad,Core CBD,4059,4218,3609,4616,5323,4969,4916,4656,5010
Serilingampally,Mid Residential,3678,3971,3284,4158,5344,4869,4550,4097,3905
Shadnagar,Peripheral Growth,3962,4087,3155,4164,5410,5129,5346,5101,4925
Shaikpet,Mid Residential,3383,3571,2966,3873,4581,4319,4236,4345,4551
Shamirpet,Mid Residential,2065,2192,1948,2686,3454,3115,2984,3071,3184
Shamshabad,Peripheral Growth,4558,4745,3537,4779,5580,5464,5546,5801,5774
Shamsherganj,Mid Residential,6710,7113,5853,7301,8575,7915,7459,7570,7583
Shankarpally,Low Activity,3780,3895,3206,4399,5378,5110,4686,4630,4590
Shilpa Hills,Mid Residential,6841,7170,5065,6393,7799,7696,7921,7822,8270
Somajiguda,Core CBD,2522,2721,2438,3227,3751,3515,3639,3372,3343
Suchitra,Mid Residential,3402,3656,3092,4166,5134,4868,4691,4413,4599
Suraram,Mid Residential,4620,4848,4044,5625,6557,6199,6137,6147,6310
Tarnaka,Mid Residential,3885,4102,2989,3879,4821,4448,4244,3843,3819
Tellapur,Growth West,2511,2663,2293,2980,3849,3495,3169,3281,3197
Thumkunta,Mid Residential,5693,6093,4665,6444,7951,7707,7357,7015,7274
Tooroor,Mid Residential,3665,3928,3264,4228,5070,4658,4870,4686,4768
Tukkuguda,Mid Residential,6799,7190,5682,7234,9195,9001,8570,8825,8560
Turkapally,Mid Residential,2831,2924,2565,3288,3959,3799,3540,3573,3394
Turkayamjal,Mid Residential,3231,3422,2397,3348,4089,3712,3473,3265,3175
Uppal,Mid Residential,2806,2918,2245,2840,3407,3143,3177,3258,3114
Uppal Bhagath,Mid Residential,4237,4504,3220,4453,5406,4992,4516,4741,4959
Velimela,Mid Residential,6268,6698,5795,7786,9221,8544,8967,9042,9283
Yamnampet,Mid Residential,2122,2285,2034,2516,2947,2914,2981,3079,2979
Yapral,Mid Residential,6096,6575,5111,6250,7567,7333,6735,6220,6660
Yousufguda,Mid Residential,6558,6804,5064,6177,7690,7552,7056,6356,6487
